Species		-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/Sorghum_halepense-JG_CO_204_C	0.00143242866999131	0.0889177832952011	0.455643578469838	0.013475002171232	0.00225022174023174	0.0037859326217241	5.30971266146279e-05	0.00552592539648294	6.95739876327324e-05	0.000958662748151268	0.000126956846025288	0.00425966206877613	0.0340587748537194	
4_Transposome/Sorghum_halepense-JG_CO_204_D	0.00179487936234161	0.0884687559854298	0.474573847024713	0.0161859915658161	0.00251661592069201	0.00407717742825215	4.70768426660265e-05	0.00618942949328283	7.79778613815741e-05	0.00157854162894878	0.000109904505472049	0.00480796315663332	0.035121422360185	
4_Transposome/Sorghum_halepense-JG_CO_206_A	0.00109450497536916	0.0903890282380283	0.454536128909083	0.0126295627519683	0.00244237680991824	0.00373707835115563	5.00834793840413e-05	0.00540135993392814	9.04945612685253e-05	0.00107076002385222	0.000132475845132947	0.00412794368933546	0.0356087024298368	
4_Transposome/Sorghum_halepense-JG_CO_206_B	0.00150910024731588	0.108546277354777	0.519950533378664	0.0118215813935537	0.00220178625328018	0.003893991626753	3.89188055232135e-05	0.00567129377179327	8.20483289138652e-05	0.00119500199892313	0.000122955140735728	0.00400764525160159	0.0412778794269048	
4_Transposome/Sorghum_halepense-JG_CO_206_C	0.00158915296918929	0.0961871398954754	0.510734436328236	0.017969845056166	0.00278320691627246	0.00412791378664046	3.6712228582154e-05	0.00667467824864063	7.05003136189517e-05	0.00163201957215013	0.000121949604600312	0.00518146447401392	0.0368343806072535	
4_Transposome/Sorghum_halepense-JG_CO_206_D	0.00115043651523942	0.0851705690217685	0.457666923357959	0.0160829515149292	0.00259807535219882	0.00411820046022603	5.17805921434545e-05	0.00607120936497169	8.22508984314136e-05	0.00144156194219453	0.000143504508836342	0.00477104374078558	0.0329778526691813	
4_Transposome/Sorghum_halepense-JG_CO_206_E	0.00112537003655344	0.0943421615782714	0.518742482129187	0.01781434844406	0.00289285264977951	0.00406594951365346	5.02588659553743e-05	0.00661278504378897	5.49733480420295e-05	0.00212466897370204	0.000146718323255841	0.00534632810325849	0.0373617250522283	
4_Transposome/Sorghum_halepense-JG_CO_207_A	0.00167836400404182	0.111732334135736	0.557182442521583	0.0165272025524412	0.00314240972707368	0.00403652130806574	4.75233768659445e-05	0.00650399732780109	8.52719535929121e-05	0.00114312422911574	0.000106378928719938	0.00464601932342066	0.0489566603998195	
4_Transposome/Sorghum_halepense-JG_CO_207_B	0.00166385702046951	0.10752649775066	0.561879044996914	0.0165748470184922	0.00308468999996578	0.00410659366931535	5.5793745868694e-05	0.00648908264385768	7.63903582342258e-05	0.000916854197781157	0.000129513903924354	0.00478953068308302	0.043331714207764	
4_Transposome/Sorghum_halepense-JG_CO_207_C	0.002010219522658	0.12374828607433	0.60680009165166	0.0125565698614879	0.00253496605532954	0.00362268367300916	3.55243641367417e-05	0.0064584417618772	8.91658613168897e-05	0.000858375614797581	0.000131683774461454	0.00394595858751	0.0491338070896627	
4_Transposome/Sorghum_halepense-JG_CO_207_D	0.000899104683430206	0.134589477369987	0.636572767723926	0.00931288982645234	0.00201586057838379	0.00274225822303939	2.05559357513408e-05	0.00608547747819108	0.000109366292999646	0.00150097082346828	2.37483291326667e-05	0.00297781560390527	0.0533498757217811	
4_Transposome/Sorghum_halepense-JG_CO_207_E	0.0019793294623275	0.127473345291567	0.607711430229671	0.0124914373805589	0.00261881330068493	0.00353430575379993	2.69107430427063e-05	0.00646448330642707	6.27977075502773e-05	0.00116374504447262	0.000120145250094754	0.00389340131875002	0.0462685758252291	
4_Transposome/Sorghum_halepense-JG_CO_215_A	0.00140743875142984	0.086099531310475	0.452007718294051	0.0147897416943493	0.00248376016050643	0.0038598852657032	5.02970894856759e-05	0.0057578369847151	7.92528119183804e-05	0.00112814255966364	0.000135290312586495	0.0044004579201251	0.0358009611887255	
4_Transposome/Sorghum_halepense-JG_CO_215_B	0.00134094154396344	0.0864996057231386	0.449987600763538	0.0141279316657257	0.00239450987042286	0.00385049644636898	5.00248590332146e-05	0.00577813475027206	7.45166348543815e-05	0.00122088247160148	0.000145337268016444	0.00442055438644786	0.0358001890317598	
4_Transposome/Sorghum_halepense-JG_CO_215_C	0.00116569669686828	0.0874595525221779	0.444373428939412	0.0140575300124078	0.0024782873978934	0.00388131059027184	4.05277639578825e-05	0.0054664550280788	7.53491155205203e-05	0.00118149452500296	0.000114759810578083	0.00425132616857844	0.0377785814364207	
4_Transposome/Sorghum_halepense-JG_CO_215_D	0.00109195391548005	0.0915652513214148	0.461820104271023	0.012908940004641	0.00235828286167464	0.0038673703437299	5.97499757721922e-05	0.00541209213676674	6.64946150782739e-05	0.00103385311606572	0.000129409789703568	0.00425463864517906	0.0381818595742172	
4_Transposome/Sorghum_halepense-JG_CO_215_E	0.00128556400041741	0.079550908979363	0.435280119181253	0.0160670201026249	0.00269025541845569	0.00402440860488967	5.06428141367376e-05	0.00560687777688477	8.98435625669664e-05	0.00106593196023902	0.000179428618354068	0.0046297990573736	0.0388227339176436	
