Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_095_E	0.000302470656999881	0.00356010418127484	0.0134942456765447	0.000888878378808864	0.000295481355774169	0.000521853313881474	2.30901911048791e-05	0.000613864314791297	5.38189826078894e-05	0.000304808118752285	8.13177958510914e-05	0.0004850717337568	0.00242959737916364
4_Transposome/JG_CO_098_A	0.000324833171523817	0.00182090762090075	0.00734630518360392	0.000797885990486109	0.000293054019058847	0.000495212909834829	2.8819156712107e-05	0.000443328437778379	4.99890386547538e-05	0.000255409678561874	6.31368595855561e-05	0.000360588434719574	0.00126306872665566
4_Transposome/JG_CO_098_B	0.000272501471985494	0.00193339552375859	0.00514657491972182	0.000717288570264635	0.000300992546219448	0.000440162319238911	3.14891834518564e-05	0.000592123144724722	5.04681309559641e-05	0.000174969545941793	6.97944790579698e-05	0.000437196439199367	0.00147239577106
4_Transposome/JG_CO_098_C	0.000220763477087285	0.00194966036327707	0.00535188556489985	0.000691014253632727	0.000371404422499739	0.000355202055464649	2.67939627170214e-05	0.000528803603209484	4.6500553780031e-05	0.000233264533629511	6.56291907069404e-05	0.000396895959956898	0.00172697730552974
4_Transposome/JG_CO_098_F	0.000286632971288369	0.00233677489440576	0.00962616907752107	0.000653725232500631	0.00029463566823869	0.000397272378380929	2.67038619811237e-05	0.000474493550037655	4.0231131240913e-05	0.000174772679908803	6.33326302731894e-05	0.000351854205648516	0.00129410587518303
4_Transposome/JG_CO_099_B	0.000317288858003815	0.00234532229958131	0.00565464619693946	0.00100211808353616	0.000375461353860612	0.000511420928073815	2.42465654721839e-05	0.000589560911189132	6.90865858118476e-05	0.000254765188449497	7.50209026024366e-05	0.000475975629585939	0.00172962853526752
4_Transposome/JG_CO_099_E	0.000371983450401494	0.002410183814229	0.00732021157103087	0.00121735667827833	0.000326666767777199	0.000410127993188768	2.30056690434827e-05	0.000537865656755966	6.11137257436361e-05	0.000243987416709117	7.33924876767295e-05	0.000453579317080929	0.00138165685535384
4_Transposome/JG_CO_102_A	0.000230116049146876	0.00212399343627729	0.00433042183019928	0.000778260070298491	0.000318528022971195	0.000382641831431082	2.98578048487699e-05	0.000595398069622192	5.86154011556689e-05	0.000216317937147233	6.83937038547043e-05	0.000453872810760914	0.00174348490977066
4_Transposome/JG_CO_102_B	0.000160826031891689	0.00157000472082823	0.00699820996454981	0.000470822434118539	0.000240927792510656	0.000293209184294367	3.35283107225848e-05	0.000400378068658439	3.45999997001011e-05	0.000134997594945856	4.9986112635661e-05	0.000303238420281881	0.00113019999498598
4_Transposome/JG_CO_102_E	0.000207645766648976	0.00217614838211543	0.00648319128006143	0.000507767442343352	0.000258857124608778	0.000376312516540198	3.08303953090217e-05	0.00041552196122095	4.64202113789232e-05	0.000146773046539739	6.37247431098041e-05	0.000301123213449223	0.00135795094917141
4_Transposome/JG_CO_102_F	0.000258472923723795	0.00178585629621754	0.00880820652982961	0.000616613219413546	0.000276165839531143	0.000403299042963594	3.13783507432764e-05	0.000398936331064284	4.67666136728085e-05	0.000168068438426774	5.92676446555738e-05	0.000365346197262017	0.00127275355719688
4_Transposome/JG_CO_104_A	0.000198291999289103	0.0057905164137961	0.0240162570934607	0.00110636102291852	0.000263470802806717	0.000409649717627004	2.58289832245182e-05	0.000435971961567922	3.44893615261728e-05	4.88973419128241e-05	6.09349775839503e-05	0.00041054632456092	0.00229532109676222
4_Transposome/JG_CO_104_B	0.000182960246104691	0.0017639378929668	0.00880945340425445	0.000522106729329352	0.000247106842567219	0.000361839324247897	3.32815208507002e-05	0.000406170181010899	4.00366152394977e-05	0.000131619865317875	4.38722743066321e-05	0.000267237284001096	0.00115460282472759
4_Transposome/JG_CO_104_C	0.00024395687428115	0.00289936868352257	0.0114786618674466	0.000632581620318197	0.000276014710998446	0.000357253191453682	2.3969112528513e-05	0.000386868315300268	4.69186985201543e-05	0.000153898612785929	4.02637553474835e-05	0.000355634095866949	0.00162228045598031
4_Transposome/JG_CO_104_D	0.000166759072907581	0.00234176347193471	0.0103236275994057	0.000478033038807558	0.000251815440094316	0.000313873052658861	3.23518997596584e-05	0.000381367455652516	5.15953911024458e-05	0.000151817126372877	4.50292428423071e-05	0.00029267735253525	0.00143671046729272
4_Transposome/JG_CO_104_E	0.000183432428084489	0.00162514545681045	0.00480527659280089	0.0005940531180417	0.000210758951745887	0.000305186480546877	2.58326235937053e-05	0.000410086174536471	4.78709516243077e-05	0.000184613822108558	5.39013667310608e-05	0.00032409538631483	0.00116916454622468
4_Transposome/JG_CO_106_A	0.000170112575192952	0.00291929147764251	0.0108156498432631	0.000595322174741431	0.00030580420154993	0.000252392987811625	2.1531836732528e-05	0.000413639957397767	4.08906081137208e-05	0.000149585420010902	5.27356857381014e-05	0.000389687504442938	0.00142364445668358
4_Transposome/JG_CO_106_B	0.000200710181971374	0.00184123405141631	0.00489459687893863	0.00059791214330851	0.000254182049066776	0.000347345858683066	2.33912881640534e-05	0.00042707059623299	4.30851294366249e-05	0.00021540171326098	4.64791307851569e-05	0.00032969685773368	0.00140572961693642
4_Transposome/JG_CO_106_D	0.000162041303738832	0.00139663977295747	0.0058770967569312	0.000575268704871279	0.000270738133179935	0.000332552223212291	2.6498382129724e-05	0.000348080015761482	4.40989606765002e-05	0.000141807148375661	5.03619571539673e-05	0.000359850098128347	0.00103470567019133
4_Transposome/JG_CO_106_F	0.0001750189100453	0.00183464478127188	0.0077126489184216	0.000567358958487561	0.000241872661066904	0.000354867332553218	3.09288862764472e-05	0.000371409494883372	3.45349435545363e-05	0.000162602475542503	4.87793915194304e-05	0.000358001642553484	0.00122790976195748
4_Transposome/JG_CO_107_A	0.000269912775103584	0.0015878002587619	0.00450258636518843	0.000780542476336815	0.000330743821499402	0.000383407050533433	2.47839014134673e-05	0.000470119528093207	4.86565823904223e-05	0.00024142719446234	6.61301471951541e-05	0.00037986813001474	0.00156256865097068
4_Transposome/JG_CO_107_B	0.00021289684822429	0.00177773806625163	0.00575373449049249	0.000588419215663459	0.000258015001795322	0.000311328103396966	2.59334945233718e-05	0.000373077767634018	4.05227418676265e-05	0.000152394770334414	4.51326448684906e-05	0.000333633316533209	0.00122139912970766
